"fromuser","touser","date","postid","threadid"
4852,4837,1235322987,15,8
4852,4837,1235325409,18,8
4852,4837,1235330919,23,8
4852,4877,1235397552,101,8
4866,4865,1235770516,159,16
4866,4869,1235859454,177,33
4885,4852,1235992920,192,51
4836,4857,1235994008,194,51
6966,6328,1259959141,22294,66
4892,4836,1236560935,282,72
8740,9363,1269470393,151553,74
9540,9835,1276363621,253671,74
5041,5035,1238945467,788,187
9394,5481,1269962538,162788,264
7138,7092,1283875471,350062,264
17186,9394,1288690980,389626,264
18695,16755,1290643115,405416,264
18311,17186,1291415479,410660,264
5085,4837,1240493313,1213,292
5085,4836,1241298012,1353,321
4855,4836,1241369853,1365,321
4954,4836,1241554192,1407,321
5090,6853,1263424005,81974,322
7607,4851,1281828497,330056,335
11969,10121,1281860610,330148,335
6112,12121,1281868665,330222,335
5157,4852,1243929192,1857,428
5040,8296,1265366181,96774,432
5231,7297,1263135056,79864,467
5287,5240,1247611631,3050,480
6380,5827,1259277539,17250,487
4954,5222,1245324651,2299,499
7094,14254,1277369154,267751,509
4984,6186,1259662600,21015,515
5435,5167,1257004013,11664,516
6088,6580,1261724703,56700,523
8026,7285,1262615843,74212,523
5889,6123,1261060939,38154,565
7634,6763,1262300487,69657,568
4954,5291,1247584222,3021,569
5291,4852,1246893209,2767,570
5287,4973,1247415018,2966,609
5287,4973,1247422167,2975,609
6434,6903,1260706987,29757,617
5167,4973,1247765720,3147,634
5128,5315,1247768957,3148,634
7716,5411,1261568195,52627,640
5435,7492,1263729666,84033,642
7492,5435,1263740013,84118,642
5291,5222,1248100524,3309,664
7631,7029,1265657356,98887,675
5839,5659,1257602342,12970,777
6345,4835,1264021919,86808,848
6039,7150,1279367475,296052,848
5291,4837,1251393937,4351,851
5287,4837,1251565020,4494,873
5435,5290,1251750314,4682,899
5287,5493,1252101586,4893,940
5411,5318,1252402371,5051,953
5411,4837,1252743747,5201,987
9586,5411,1270244651,170192,987
4849,5240,1252862545,5278,996
10325,13277,1276892278,260329,1028
4954,4872,1253402024,5663,1052
5287,5291,1253552446,5807,1075
5240,5684,1253831041,6154,1084
5620,5457,1253719039,5958,1086
5287,5155,1253704128,5922,1090
5287,5131,1253804012,6094,1114
5287,5222,1253819406,6131,1118
5287,4872,1254073499,6351,1144
4973,5287,1254350122,6632,1149
5538,4903,1254148597,6400,1154
4903,5538,1254149451,6403,1154
5493,5287,1254347218,6629,1203
18857,18569,1291038731,407894,1228
5086,4872,1255861685,9186,1246
7595,6791,1265053408,94257,1246
7479,5247,1266680508,108337,1246
5606,5945,1256375195,10256,1254
6930,5606,1259978774,22514,1254
5291,5453,1254836112,7014,1274
5291,5453,1254845882,7034,1274
5287,5138,1255019446,7327,1332
6115,6395,1259262829,17086,1347
5733,5456,1255134538,7551,1356
5453,5287,1255116731,7507,1361
7211,6031,1261085697,39441,1384
5318,5983,1257026772,11750,1400
5716,5596,1255282664,7897,1401
4973,5859,1255445748,8306,1458
6335,5435,1259011038,15990,1477
5086,5573,1255967703,9445,1483
5876,5086,1255967794,9447,1483
5875,5876,1255565743,8603,1507
5240,5435,1258051357,13751,1508
5240,5646,1258154953,13883,1508
6380,5240,1259340938,17734,1508
6930,6944,1260072966,23324,1532
5200,5991,1256856429,11283,1553
5991,5200,1256859117,11286,1553
5167,5331,1255784513,9058,1561
4872,5167,1255789815,9083,1561
5291,5507,1255800379,9114,1561
5507,5291,1255801451,9116,1561
5435,5222,1255804791,9126,1561
5291,5876,1256035895,9572,1561
5932,5876,1256083648,9706,1561
5167,5222,1257595560,12929,1561
5291,5222,1257602727,12976,1561
5291,6157,1258823610,15367,1561
7347,6620,1264506129,90615,1561
6620,7347,1264577594,91160,1561
5167,5922,1255807376,9129,1563
5453,5879,1255886918,9300,1594
5493,5932,1256166579,9908,1594
5328,5875,1255890347,9312,1598
5291,5908,1255907734,9362,1599
5156,5549,1255890695,9314,1601
5538,4839,1257104716,11931,1602
9823,14181,1277897468,277131,1618
5240,5222,1256167266,9912,1627
5932,5222,1256077572,9692,1647
5493,5932,1256079046,9694,1647
5932,5493,1256079719,9697,1647
4839,5128,1258292791,14092,1653
5411,5375,1256135311,9757,1656
5240,5086,1256168075,9913,1672
5941,4973,1256214415,9949,1680
5086,5880,1256301005,10124,1696
5945,5941,1256312445,10163,1704
6526,6398,1259245628,16825,1705
5649,6957,1260876003,33375,1705
5649,6526,1260961738,35741,1705
8792,8509,1267857520,121986,1705
6088,7495,1268595863,135208,1705
7607,5649,1269088430,143494,1705
14562,10868,1277682477,274219,1705
15139,12323,1279212280,294100,1705
14797,15431,1279276879,295006,1705
15611,15431,1279466603,297666,1705
5649,12177,1282328450,335086,1705
12177,5649,1282386052,335511,1705
12177,14060,1282473841,336189,1705
16362,11264,1282674269,338533,1705
10830,8618,1283272314,344325,1705
15851,6902,1283503890,346425,1705
5493,5659,1256326600,10206,1715
5915,5291,1256334189,10229,1717
5328,5816,1256389955,10273,1721
4954,5328,1256392074,10275,1721
5222,5435,1256416073,10338,1726
5816,5156,1256497864,10530,1740
5156,5816,1256498527,10531,1740
5086,5979,1256468107,10396,1742
5269,4973,1257599766,12952,1744
5941,4839,1256567544,10625,1765
5983,5433,1256886912,11301,1772
6539,7313,1261186558,42014,1772
7263,5983,1261242833,43199,1772
5154,5222,1256597120,10729,1773
4839,5573,1256916923,11374,1877
6856,4849,1259337399,17672,1895
5991,5573,1257107832,11946,1951
5932,5983,1257150444,11995,1959
5932,4872,1257180194,12087,1959
5156,5138,1257183500,12105,1977
5646,6053,1257372612,12510,1987
5435,4878,1257500252,12672,2000
5573,5987,1257513909,12694,2000
5980,5912,1257451226,12621,2042
5912,5980,1257452520,12630,2042
5912,5315,1257605947,13000,2092
5606,6026,1257630873,13094,2097
5435,5089,1257757145,13321,2109
5411,5167,1257692103,13160,2112
5606,5846,1257700496,13211,2114
5411,5435,1258571986,14754,2184
5046,5089,1258091128,13800,2198
5991,4860,1258039729,13724,2205
5507,4973,1258142531,13869,2225
6539,6010,1261966122,63813,2233
5156,4916,1258318193,14170,2276
5779,5728,1258389958,14251,2276
8382,7284,1270245884,170214,2276
8647,9586,1270300285,170779,2276
6026,6022,1258313390,14160,2278
5411,5491,1258483678,14440,2307
6222,5046,1259335308,17634,2308
5980,6186,1258495815,14523,2311
5980,5156,1258480452,14415,2323
5980,6022,1258480924,14420,2323
5980,5898,1258552179,14626,2323
5980,6022,1258481501,14425,2324
4846,5768,1258489031,14469,2333
6186,5947,1258497378,14536,2341
5155,6150,1258561305,14673,2361
6150,5155,1258561660,14676,2361
6150,5138,1259086429,16205,2361
8161,6150,1263060580,79153,2361
6672,8161,1263061710,79175,2361
5155,5046,1258583228,14822,2390
5456,5155,1258588441,14860,2392
5200,5131,1258991844,15870,2407
4846,5588,1258983153,15824,2516
4849,5846,1258921405,15664,2521
6186,5839,1258926115,15708,2531
6153,6154,1259967293,22421,2572
7223,5588,1261076100,38905,2572
6039,6022,1259011780,16002,2574
6234,6039,1259011925,16007,2574
5435,6380,1262796255,76403,2580
6698,5659,1260807753,32015,2582
5318,16496,1287993473,383465,2593
5318,13005,1289044868,393814,2593
5435,6346,1259073308,16141,2598
5794,6853,1259881535,21600,2608
5839,5536,1259133790,16310,2626
5728,5435,1259156789,16371,2635
5435,7029,1261597026,53668,2635
5991,6186,1259169714,16451,2650
5411,6829,1259353807,17918,2659
5953,5963,1259189281,16598,2674
5328,5453,1259197346,16625,2674
6373,5899,1259235345,16699,2674
5291,5953,1259240859,16761,2674
6401,5328,1259241369,16767,2674
6645,6698,1259877903,21546,2674
6645,6547,1259880757,21593,2674
6380,6547,1259881262,21597,2674
6380,6547,1259881949,21604,2674
6380,5247,1259885061,21620,2674
6547,6390,1259885953,21628,2674
6380,6112,1259188849,16594,2677
6380,5876,1259878834,21560,2677
7359,6211,1261554593,52383,2700
6152,5493,1259245206,16818,2701
5991,6876,1260137664,24452,2708
6518,6231,1260224891,25362,2708
5991,5291,1259250471,16883,2711
5411,4849,1259251367,16905,2711
6211,6115,1262705801,75328,2721
6589,5435,1259496099,19347,2737
5919,6589,1259496205,19351,2737
5839,6152,1259320046,17420,2760
5538,6643,1260452838,27265,2760
6643,5538,1260453316,27270,2760
5435,7003,1260706838,29746,2760
5131,5435,1260718487,30172,2760
6851,7663,1263415159,81836,2786
5231,6907,1260802001,31783,2788
5231,6907,1260878634,33451,2788
5411,6152,1259323954,17489,2794
6838,6656,1259343384,17783,2804
5201,4951,1259362352,18059,2816
6145,6280,1262047329,66250,2816
6656,5045,1259337114,17662,2820
7185,7118,1263895239,85252,2820
8078,8995,1269794622,158399,2820
6206,6380,1259339969,17722,2825
6380,6206,1259340412,17728,2825
6602,6380,1259341142,17741,2825
7359,7293,1261092331,39713,2836
5131,6676,1259349772,17851,2843
6380,5738,1260732314,30608,2852
8942,9048,1269158151,144702,2852
6206,6363,1259429959,18716,2868
6830,6698,1259540727,20124,2868
6830,6206,1259541211,20128,2868
6206,6830,1259747133,21170,2868
6206,6438,1259752559,21195,2868
6830,6206,1259920315,21776,2868
5411,6903,1259407755,18333,2886
6380,6363,1259613702,20813,2907
5435,5659,1259448350,19036,2912
5704,6434,1259968283,22437,2916
6434,7306,1260741039,30890,2916
6434,7306,1260742986,30944,2916
6140,6521,1259421918,18612,2922
6954,6206,1259425414,18659,2927
6206,6979,1259425862,18667,2927
6206,5388,1259428145,18695,2933
6539,6179,1259513389,19719,2950
11615,10967,1278605199,285115,2986
11732,14861,1286092615,368694,2986
7003,6910,1260735190,30715,2991
6468,6698,1259505148,19518,3006
6336,5435,1259454676,19126,3007
5674,5832,1259524899,19895,3040
5970,6380,1260387792,26918,3053
5610,5862,1259508100,19587,3059
5201,6395,1259525206,19904,3076
5167,6402,1259525851,19915,3076
4973,4835,1259526664,19924,3076
6645,6154,1259541737,20135,3076
5247,5493,1259595180,20479,3135
15034,7198,1279836533,303356,3140
6406,6759,1259602078,20625,3147
7094,6507,1259586639,20316,3156
9028,5222,1270369687,172422,3186
5222,9028,1270370212,172438,3186
9028,5222,1270370455,172442,3186
5222,9028,1270370963,172454,3186
6380,5790,1260484339,27721,3212
7145,6380,1260485730,27741,3212
6380,7145,1260486343,27752,3212
6380,5790,1260486755,27758,3212
7145,6380,1260486950,27760,3212
7059,5800,1259757193,21241,3221
5247,5435,1259615272,20844,3224
7154,7930,1261738579,56908,3224
6397,6589,1259623129,20941,3228
8609,8424,1267572783,118156,3232
6468,6623,1259671401,21090,3257
6397,6734,1260132087,24327,3273
6154,6698,1259873746,21479,3282
6270,5155,1259760438,21295,3283
5578,6930,1259989622,22547,3288
5839,5557,1259870943,21428,3323
6380,5790,1259871636,21441,3323
6380,6447,1259873862,21483,3329
6380,6186,1259876882,21527,3329
6380,6186,1259878686,21558,3329
6380,7029,1259884971,21617,3329
6813,5366,1260010705,22654,3329
6380,5492,1261074352,38776,3329
6380,6686,1261158424,41080,3329
6380,7123,1261358052,46870,3329
6380,7805,1261706382,56574,3329
7805,6380,1261706957,56592,3329
6380,5240,1261749258,57228,3329
5240,6380,1261758145,57574,3329
6380,5240,1261772675,57888,3329
6380,7813,1261780176,58287,3329
6380,8003,1261786809,58562,3329
6380,7663,1261832198,59423,3329
6380,5867,1263072525,79352,3329
6336,5921,1259926964,21831,3332
6380,6734,1259879874,21580,3345
6363,5908,1259912605,21725,3376
7488,4973,1267026857,111471,3380
7275,6622,1260797044,31619,3381
7275,6395,1260797446,31642,3381
7275,6395,1260797790,31655,3381
8071,4921,1262647633,74794,3394
8416,7275,1270097213,166511,3395
7254,6380,1260996736,37243,3408
6335,6115,1259934207,21937,3410
6830,6402,1260228303,25410,3414
5046,7251,1261083332,39325,3414
5889,7028,1261144987,40504,3414
5859,7738,1262015544,64817,3414
7738,5859,1262026130,65293,3414
5469,8006,1270488915,174776,3414
8006,5469,1270491367,174859,3414
8006,9311,1270491940,174888,3414
5908,6345,1260083297,23337,3419
7170,8860,1271431334,195704,3423
7094,6518,1259937261,21993,3431
7094,6390,1259937829,22004,3431
7094,5247,1259938148,22009,3431
7094,6547,1259942161,22097,3431
6444,6656,1259966017,22400,3431
7094,6444,1259966763,22413,3431
6444,7094,1259967849,22432,3431
6215,6003,1260061847,23281,3431
5839,6643,1260095811,23398,3432
6643,5839,1260097392,23424,3432
6503,6434,1259968045,22434,3440
6113,6503,1259969113,22444,3440
6434,6113,1259969399,22449,3440
6113,6434,1259969489,22451,3440
5592,6503,1259970671,22462,3440
5592,6146,1260188575,24792,3440
6380,6291,1264415330,89827,3442
7094,6507,1259941781,22087,3449
5620,7059,1259954573,22233,3450
6930,4930,1259947975,22176,3453
5128,7819,1262614300,74195,3460
7404,6945,1262625719,74375,3460
5659,6215,1259973710,22484,3478
6853,5366,1263304758,81228,3478
5661,6365,1260731971,30592,3480
6147,6128,1259963752,22363,3485
7123,6747,1262993553,78581,3490
6444,5992,1259968306,22438,3492
6206,4973,1260021752,22806,3493
6930,6280,1259983970,22536,3494
5201,6840,1260028704,22882,3494
5435,5659,1260568314,28423,3500
5953,5659,1260798604,31680,3500
6834,6539,1260018092,22773,3504
5090,6172,1265928022,101611,3507
6179,8373,1266516840,106984,3507
7003,6738,1260923100,35346,3517
7094,5834,1260028814,22883,3525
6206,6026,1260011684,22669,3531
5388,6335,1260018453,22778,3536
5045,7183,1260810967,32120,3537
5516,7930,1261738573,56907,3537
7796,6206,1261826112,59150,3537
6153,6247,1260016246,22735,3542
7459,7543,1261092188,39707,3542
5816,4930,1263048254,78943,3565
6206,6123,1260023281,22814,3567
6206,6592,1260024380,22829,3567
6206,6123,1260024835,22834,3567
6592,6206,1260027159,22859,3567
6592,6206,1260029283,22891,3567
7094,6365,1260050696,23160,3573
7094,6822,1260182388,24736,3573
5578,5435,1260035783,22977,3582
6206,5435,1260037817,22999,3582
6784,6206,1260037903,23000,3582
6653,6206,1260116504,23971,3582
6444,6734,1260044725,23110,3589
5790,5290,1260491929,27795,3591
6153,7065,1260044610,23108,3605
7455,5729,1261152870,40882,3605
6365,6653,1260110850,23810,3608
6653,6365,1260111035,23815,3608
7094,5435,1260049252,23153,3609
5435,7094,1260049397,23154,3609
5992,5620,1260058090,23257,3612
6153,5620,1260060669,23275,3612
5992,6153,1260107477,23731,3612
6876,5992,1260110560,23807,3612
5992,6444,1260053858,23209,3613
6717,5717,1260057244,23247,3617
5908,7145,1260083151,23335,3617
7284,6876,1260912302,34916,3622
5919,6957,1260090844,23356,3623
6601,6957,1260093684,23376,3623
6957,6026,1260114663,23926,3623
7059,7145,1260138974,24483,3629
6840,5908,1260139316,24493,3629
5839,4835,1260102146,23565,3647
7275,7707,1261395816,47268,3647
6955,6004,1260106239,23682,3649
10369,9862,1275353903,235854,3650
4835,6215,1260104949,23653,3654
5932,6945,1260107946,23744,3654
6123,7136,1260182501,24737,3654
4899,6137,1261839202,59729,3656
5435,6186,1260134777,24395,3662
6397,6656,1260131968,24324,3679
6271,6840,1260116293,23964,3684
7211,7974,1261741505,56996,3703
5042,6365,1260125652,24158,3728
5042,7585,1263634693,83347,3728
5042,4927,1263646221,83483,3728
5991,5154,1260125810,24162,3734
6397,6404,1260133323,24353,3734
6469,7911,1263257019,80952,3734
8043,6469,1263272265,80988,3734
8068,8043,1263304966,81235,3734
8043,8068,1263307908,81284,3734
